fullname,firstname,secondname,games,birthdate,position,scPrice,height,weight
Aaron Francis,Aaron,Francis,10,"1997,08,10",Defender,350900,193,92
Aaron Hall,Aaron,Hall,103,"1990,11,09",Midfield,389200,185,85
Aaron Naughton,Aaron,Naughton,18,"1999,11,30",Defender,310900,195,89
Aaron Nietschke,Aaron,Nietschke,0,"2000,05,26",Midfield,117300,184,80
Aaron Sandilands,Aaron,Sandilands,265,"1982,12,06",Ruck,529000,211,118
Aaron Vandenberg,Aaron,Vandenberg,35,"1992,03,03","Midfield,Forward",283400,188,90
Aaron Young,Aaron,Young,98,"1992,12,06",Forward,325700,189,84
Adam Cerra,Adam,Cerra,21,"1999,10,07",Forward,329600,186,81
Adam Kennedy,Adam,Kennedy,92,"1992,07,12",Defender,428500,182,80
Adam Saad,Adam,Saad,70,"1994,07,23",Defender,407600,178,75
Adam Tomlinson,Adam,Tomlinson,115,"1993,08,10",Midfield,385400,194,96
Adam Treloar,Adam,Treloar,139,"1993,03,09",Midfield,594200,182,86
Aidan Corr,Aidan,Corr,75,"1994,05,17",Defender,299600,195,95
Aiden Bonar,Aiden,Bonar,4,"1999,03,08","Midfield,Forward",249700,188,86
Aidyn Johnson,Aidyn,Johnson,10,"1997,10,31",Forward,208100,185,81
Alex Fasolo,Alex,Fasolo,101,"1992,06,08",Forward,250000,181,84
Alex Keath,Alex,Keath,12,"1992,01,20",Defender,359100,197,93
Alex Neal-Bullen,Alex,Neal-Bullen,59,"1996,01,09",Forward,402500,182,80
Alex Pearce,Alex,Pearce,42,"1995,06,09",Defender,273500,200,98
Alex Rance,Alex,Rance,199,"1989,10,09",Defender,448100,194,95
Alex Sexton,Alex,Sexton,97,"1993,12,03",Forward,329700,186,84
Alex Witherden,Alex,Witherden,30,"1998,09,10",Defender,455000,188,85
Aliir Aliir,Aliir,Aliir,28,"1994,09,05",Defender,431800,194,94
Allen Christensen,Allen,Christensen,120,"1991,05,19",Forward,395000,177,80
Andrew Brayshaw,Andrew,Brayshaw,17,"1999,11,08",Midfield,328600,184,84
Andrew Gaff,Andrew,Gaff,175,"1992,06,16",Midfield,587400,182,85
Andrew McGrath,Andrew,McGrath,41,"1998,06,02","Defender,Midfield",384300,178,80
Andrew McPherson,Andrew,McPherson,0,"1999,06,20",Defender,123900,186,79
Andrew Phillips,Andrew,Phillips,36,"1991,07,03",Ruck,278800,203,99
Andy Otten,Andy,Otten,106,"1989,05,15",Defender,375200,192,94
Angus Brayshaw,Angus,Brayshaw,58,"1996,01,09",Midfield,526900,187,87
Angus Schumacher,Angus,Schumacher,0,"1999,03,16",Defender,123900,190,84
Anthony McDonald-Tipungwuti,Anthony,McDonald-Tipungwuti,66,"1993,04,22",Forward,368600,171,79
Anthony Miles,Anthony,Miles,71,"1992,02,28",Midfield,342000,180,80
Anton Tohill,Anton,Tohill,0,"1999,12,14","Defender,Forward",102400,,
Archie Smith,Archie,Smith,9,"1995,07,19",Ruck,172300,202,105
Atu Bosenavulagi,Atu,Bosenavulagi,0,"2000,09,17","Midfield,Forward",117300,179,79
Austin Bradtke,Austin,Bradtke,0,"2000,05,27",Ruck,102400,204,90
Bachar Houli,Bachar,Houli,185,"1988,05,12",Defender,399600,180,84
Bailey Banfield,Bailey,Banfield,20,"1998,02,26","Midfield,Forward",344200,188,88
Bailey Dale,Bailey,Dale,40,"1996,07,22","Midfield,Forward",311600,183,82
Bailey Rice,Bailey,Rice,11,"1997,02,10",Defender,297600,184,88
Bailey Scott,Bailey,Scott,0,"2000,07,09",Midfield,117300,186,74
Bailey Smith,Bailey,Smith,0,"2000,12,07",Midfield,180300,185,80
Bailey Williams,Bailey,Williams,32,"1997,10,10",Defender,441600,187,85
