Name,Team,Position,,Price,Prediction,My Prediction,Final Predict,DO NOT FILTER
Aaron Francis,Essendon,['Defender'],Defender,350900,69.08474576,,69.08474576,
Aaron Hall,North Melbourne,['Midfield'],Midfield,389200,88.67340869,85,85.91835217,
Aaron Naughton,Western Bulldogs,['Defender'],Defender,310900,60,,60,
Aaron Nietschke,Melbourne,['Midfield'],Midfield,117300,22.55769231,,22.55769231,
Aaron Sandilands,Fremantle,['Ruck'],Ruck,529000,94.71851852,100,98.67962963,
Aaron Vandenberg,Melbourne,"['Midfield', 'Forward']","Midfield, Forward",283400,67.42307692,,67.42307692,
Aaron Young,Gold Coast,['Forward'],Forward,325700,62.86467569,,62.86467569,
Adam Cerra,Fremantle,['Forward'],Forward,329600,60,,60,
Adam Kennedy,GWS,['Defender'],Defender,428500,59.25806452,,59.25806452,
Adam Saad,Essendon,['Defender'],Defender,407600,73.77777778,,73.77777778,
Adam Tomlinson,GWS,['Midfield'],Midfield,385400,63.49502605,,63.49502605,
Adam Treloar,Collingwood,['Midfield'],Midfield,594200,106.4212134,108,107.6053034,
Aidan Corr,GWS,['Defender'],Defender,299600,55.56097561,,55.56097561,
Aiden Bonar,GWS,"['Midfield', 'Forward']","Midfield, Forward",249700,57,,57,
Aidyn Johnson,Port Adelaide,['Forward'],Forward,208100,43.4,,43.4,
Alex Fasolo,Carlton,['Forward'],Forward,250000,68.57422158,,68.57422158,
Alex Keath,Adelaide,['Defender'],Defender,359100,64.13333333,,64.13333333,
Alex Neal-Bullen,Melbourne,['Forward'],Forward,402500,69.41022909,,69.41022909,
Alex Pearce,Fremantle,['Defender'],Defender,273500,51.88821752,,51.88821752,
Alex Rance,Richmond,['Defender'],Defender,448100,89.90566038,92,91.47641509,
Alex Sexton,Gold Coast,['Forward'],Forward,329700,60.40955631,,60.40955631,
Alex Witherden,Brisbane,['Defender'],Defender,455000,84.09090909,88,87.02272727,
Aliir Aliir,Sydney,['Defender'],Defender,431800,72,,72,
Allen Christensen,Brisbane,['Forward'],Forward,395000,75.75675676,,75.75675676,
Andrew Brayshaw,Fremantle,['Midfield'],Midfield,328600,60,,60,
Andrew Gaff,West Coast,['Midfield'],Midfield,587400,98.4870993,104,102.6217748,
Andrew McGrath,Essendon,"['Defender', 'Midfield']","Defender, Midfield",384300,70,90,85,
Andrew McPherson,Adelaide,['Defender'],Defender,123900,23.82692308,,23.82692308,
Andrew Phillips,Carlton,['Ruck'],Ruck,278800,59.12581913,,59.12581913,
Andy Otten,Adelaide,['Defender'],Defender,375200,70.95081967,,70.95081967,
Angus Brayshaw,Melbourne,['Midfield'],Midfield,526900,80.45259939,102,96.61314985,
Angus Schumacher,Carlton,['Defender'],Defender,123900,21.53846154,,21.53846154,
Anthony McDonald-Tipungwuti,Essendon,['Forward'],Forward,368600,70.37801609,,70.37801609,
Anthony Miles,Gold Coast,['Midfield'],Midfield,342000,89.1979781,98,95.79949452,
Anton Tohill,Collingwood,"['Defender', 'Forward']","Defender, Forward",102400,19.69230769,,19.69230769,
Archie Smith,Brisbane,['Ruck'],Ruck,172300,54.71428571,,54.71428571,
Atu Bosenavulagi,Collingwood,"['Midfield', 'Forward']","Midfield, Forward",117300,22.55769231,,22.55769231,
Austin Bradtke,Melbourne,['Ruck'],Ruck,102400,19.69230769,,19.69230769,
Bachar Houli,Richmond,['Defender'],Defender,399600,87.68639668,85,85.67159917,
Bailey Banfield,Fremantle,"['Midfield', 'Forward']","Midfield, Forward",344200,63,,63,
Bailey Dale,Western Bulldogs,"['Midfield', 'Forward']","Midfield, Forward",311600,56.52201258,,56.52201258,
Bailey Rice,St Kilda,['Defender'],Defender,297600,54,,54,
Bailey Scott,North Melbourne,['Midfield'],Midfield,117300,59,,59,
Bailey Smith,Western Bulldogs,['Midfield'],Midfield,180300,57.09413236,,57.09413236,
Bailey Williams,Western Bulldogs,"['Forward', 'Ruck']","Forward, Ruck",117300,68.34146341,,68.34146341,
Bailey Williams,West Coast,"['Forward', 'Ruck']","Forward, Ruck",117300,22.55769231,,22.55769231,
Bayley Fritsch,Melbourne,['Midfield'],Midfield,408400,75,,75,
Ben Ainsworth,Gold Coast,['Forward'],Forward,333200,60.58447489,,60.58447489,
Ben Brown,North Melbourne,['Forward'],Forward,451100,77.05042017,,77.05042017,
Ben Cavarra,Western Bulldogs,['Forward'],Forward,117300,22.55769231,,22.55769231,
Ben Crocker,Collingwood,['Forward'],Forward,248600,44.01910828,,44.01910828,
Ben Cunnington,North Melbourne,['Midfield'],Midfield,522900,90.36321484,95,93.84080371,
Ben Davis,Adelaide,['Forward'],Forward,123900,23.82692308,,23.82692308,
Ben Jacobs,North Melbourne,['Midfield'],Midfield,435500,69.70609319,,69.70609319,
Ben Jarvis,Geelong,"['Forward', 'Ruck']","Forward, Ruck",117300,22.55769231,,22.55769231,
Ben Keays,Brisbane,['Midfield'],Midfield,260600,58.59681093,,58.59681093,
Ben King,Gold Coast,['Forward'],Forward,184800,18.63350118,,18.63350118,
Ben Long,St Kilda,['Forward'],Forward,292600,49.11111111,,49.11111111,
Ben McEvoy,Hawthorn,['Ruck'],Ruck,553100,87.9118905,101,97.72797263,
Ben McKay,North Melbourne,['Defender'],Defender,123900,50,,50,
Ben McNiece,Essendon,['Defender'],Defender,297900,54,,54,
Ben Miller,Richmond,['Defender'],Defender,123900,23.82692308,,23.82692308,
Ben Paton,St Kilda,['Defender'],Defender,237400,54,,54,
Ben Reid,Collingwood,['Forward'],Forward,299700,72.36689038,,72.36689038,
Ben Ronke,Sydney,['Forward'],Forward,350600,64,,64,
Ben Silvagni,Carlton,"['Defender', 'Forward']","Defender, Forward",117300,22.55769231,,22.55769231,
Benjamin Stratton,Hawthorn,['Defender'],Defender,320300,57.85984848,,57.85984848,
Billy Frampton,Port Adelaide,['Ruck'],Ruck,191100,44,,44,
Billy Gowers,Western Bulldogs,['Forward'],Forward,332200,61,,61,
Billy Longer,St Kilda,['Ruck'],Ruck,260900,70.55411255,,70.55411255,
Billy Stretch,Melbourne,['Midfield'],Midfield,285000,64.86265287,,64.86265287,
Blake Acres,St Kilda,"['Midfield', 'Forward']","Midfield, Forward",480000,76.36631331,,76.36631331,
Blake Hardwick,Hawthorn,['Defender'],Defender,403400,68.58423395,,68.58423395,
Blake Schlensog,Geelong,"['Forward', 'Ruck']","Forward, Ruck",102400,19.69230769,,19.69230769,
Boyd Woodcock,Port Adelaide,"['Midfield', 'Forward']","Midfield, Forward",117300,22.55769231,,22.55769231,
Brad Crouch,Adelaide,['Midfield'],Midfield,418000,92.02836879,102,99.5070922,
Brad Ebert,Port Adelaide,['Midfield'],Midfield,471500,90.35100822,85,86.33775205,
Brad Scheer,Gold Coast,[],,None,51.15789474,,51.15789474,
Bradley Hill,Fremantle,['Midfield'],Midfield,426700,75.21215043,,75.21215043,
Bradley Lynch,Western Bulldogs,"['Defender', 'Forward']","Defender, Forward",276300,50,,50,
Bradley Sheppard,West Coast,['Defender'],Defender,418700,69.3902439,,69.3902439,
Brandan Parfitt,Geelong,['Forward'],Forward,434300,70.05263158,,70.05263158,
Brandon Ellis,Richmond,['Defender'],Defender,387500,85.44776119,75,77.6119403,
Brandon Matera,Fremantle,['Forward'],Forward,333300,65.10695742,,65.10695742,
Brandon Starcevich,Brisbane,"['Midfield', 'Forward']","Midfield, Forward",237000,48,,48,
Brandon White,St Kilda,['Defender'],Defender,261400,53.80697051,,53.80697051,
Brandon Zerk-Thatcher,Essendon,['Defender'],Defender,123900,23.82692308,,23.82692308,
Brayden Ainsworth,West Coast,['Midfield'],Midfield,234500,54,,54,
Brayden Crossley,Gold Coast,['Forward'],Forward,270900,49,,49,
Brayden Fiorini,Gold Coast,['Midfield'],Midfield,442200,75.97266036,,75.97266036,
Brayden Ham,Essendon,['Forward'],Forward,117300,40.83333333,,40.83333333,
Brayden Maynard,Collingwood,['Defender'],Defender,406800,70.0044843,,70.0044843,
Brayden Sier,Collingwood,['Midfield'],Midfield,435000,80,,80,
Braydon Preuss,Melbourne,['Ruck'],Ruck,239900,63,,63,
Brendon Ah Chee,West Coast,['Forward'],Forward,348800,62.32844575,,62.32844575,
Brennan Cox,Fremantle,['Forward'],Forward,349800,59.4040404,,59.4040404,
Brent Daniels,GWS,['Forward'],Forward,246400,50,,50,
Brett Bewley,Fremantle,['Midfield'],Midfield,117300,57.09241044,,57.09241044,
Brett Deledio,GWS,['Midfield'],Midfield,463800,94.70383275,85,87.42595819,
Brodie Grundy,Collingwood,['Ruck'],Ruck,708200,106.8916797,120,116.7229199,
Brodie Riach,West Coast,"['Midfield', 'Forward']","Midfield, Forward",102400,19.69230769,,19.69230769,
Brodie Smith,Adelaide,['Defender'],Defender,332500,78.91089109,93,89.47772277,
Brody Mihocek,Collingwood,['Forward'],Forward,361000,66,,66,
Bryce Gibbs,Adelaide,['Midfield'],Midfield,523900,99.23600973,98,98.30900243,
Buku Khamis,Western Bulldogs,['Defender'],Defender,102400,19.69230769,,19.69230769,
Cale Hooker,Essendon,['Defender'],Defender,421500,80.73596358,,80.73596358,
Caleb Daniel,Western Bulldogs,['Forward'],Forward,418500,76.27678571,,76.27678571,
Caleb Graham,Gold Coast,"['Defender', 'Ruck']","Defender, Ruck",117300,22.55769231,,22.55769231,
Caleb Marchbank,Carlton,['Defender'],Defender,355600,64.64214047,,64.64214047,
Callan Ward,GWS,['Midfield'],Midfield,568000,103.1300813,102,102.2825203,
Callum Ah Chee,Gold Coast,"['Defender', 'Forward']","Defender, Forward",300500,55.54205607,,55.54205607,
Callum Brown,GWS,['Forward'],Forward,322300,61.98076923,,61.98076923,
Callum Brown,Collingwood,['Forward'],Forward,322300,56.17171717,,56.17171717,
Callum Coleman-Jones,Richmond,"['Forward', 'Ruck']","Forward, Ruck",123900,23.82692308,,23.82692308,
Callum Mills,Sydney,['Defender'],Defender,428900,76.99093656,96,91.24773414,
Callum Moore,Richmond,['Forward'],Forward,280100,53.78378378,,53.78378378,
Callum Porter,Western Bulldogs,['Midfield'],Midfield,123900,23.82692308,,23.82692308,
Callum Sinclair,Sydney,['Ruck'],Ruck,528000,82.23110915,90,88.05777729,
Callum Wilkie,St Kilda,['Defender'],Defender,124900,41.56782675,,41.56782675,
Cameron Ellis-Yolmen,Adelaide,['Midfield'],Midfield,449800,79.8630137,,79.8630137,
Cameron Guthrie,Geelong,['Defender'],Defender,346100,78.72967952,,78.72967952,
Cameron Hewett,Port Adelaide,['Midfield'],Midfield,102400,19.69230769,,19.69230769,
Cameron McCarthy,Fremantle,['Forward'],Forward,273300,52.21203438,,52.21203438,
Cameron Polson,Carlton,['Forward'],Forward,191800,34.93203883,,34.93203883,
Cameron Rayner,Brisbane,['Forward'],Forward,327700,60,,60,
Cameron Zurhaar,North Melbourne,['Forward'],Forward,254100,48.29411765,,48.29411765,
Cedric Cox,Brisbane,['Defender'],Defender,166100,42.45454545,,42.45454545,
Chad Wingard,Hawthorn,"['Midfield', 'Forward']","Midfield, Forward",481100,89.27506214,97,95.06876553,
Changkuoth Jiath,Hawthorn,['Defender'],Defender,123900,48.125,,48.125,
Charlie Ballard,Gold Coast,['Defender'],Defender,241800,44,,44,
Charlie Cameron,Brisbane,['Forward'],Forward,387400,67.18470418,,67.18470418,
Charlie Constable,Geelong,['Midfield'],Midfield,123900,87.7896036,,87.7896036,
Charlie Curnow,Carlton,['Forward'],Forward,420400,72.94304169,,72.94304169,
Charlie Dixon,Port Adelaide,['Forward'],Forward,425300,77.9197995,,77.9197995,
Charlie Spargo,Melbourne,['Forward'],Forward,311200,57,,57,
Chayce Jones,Adelaide,['Midfield'],Midfield,171300,75.04631453,,75.04631453,
Chris Burgess,Gold Coast,"['Defender', 'Forward']","Defender, Forward",123900,42.09019232,,42.09019232,
Chris Masten,West Coast,['Midfield'],Midfield,418800,77.64745011,,77.64745011,
Christian Petracca,Melbourne,"['Midfield', 'Forward']","Midfield, Forward",442600,77.83892617,85,83.20973154,
Christian Salem,Melbourne,['Defender'],Defender,445400,78.60526316,,78.60526316,
Christopher Mayne,Collingwood,['Midfield'],Midfield,370400,71.89450305,,71.89450305,
Clayton Oliver,Melbourne,['Midfield'],Midfield,622600,104.9006951,118,114.7251738,
Colin O'Riordan,Sydney,['Defender'],Defender,250800,66,,66,
Connor Ballenden,Brisbane,['Forward'],Forward,123900,25.93396062,,25.93396062,
Connor Blakely,Fremantle,['Defender'],Defender,461800,82.67202572,,82.67202572,
Connor Idun,GWS,"['Defender', 'Forward']","Defender, Forward",117300,22.55769231,,22.55769231,
Connor McFadyen,Brisbane,"['Midfield', 'Forward']","Midfield, Forward",117300,22.55769231,,22.55769231,
Connor Menadue,Richmond,['Defender'],Defender,228600,52.11144883,,52.11144883,
Connor Nutting,Gold Coast,"['Defender', 'Forward']","Defender, Forward",123900,23.82692308,,23.82692308,
Connor Rozee,Port Adelaide,"['Defender', 'Forward']","Defender, Forward",189300,38.82815821,,38.82815821,
Conor Glass,Hawthorn,['Defender'],Defender,210100,49.81081081,,49.81081081,
Conor McKenna,Essendon,['Defender'],Defender,403800,66.29663963,,66.29663963,
Conor Nash,Hawthorn,['Forward'],Forward,262200,69,,69,
Corey Ellis,Gold Coast,"['Defender', 'Midfield']","Defender, Midfield",233300,50.3358396,,50.3358396,
Corey Lyons,Brisbane,['Midfield'],Midfield,123900,23.82692308,,23.82692308,
Corey Maynard,Melbourne,['Midfield'],Midfield,238900,62.93333333,,62.93333333,
Corey Wagner,Melbourne,['Midfield'],Midfield,123900,34.26666667,,34.26666667,
Curtis Taylor,North Melbourne,"['Midfield', 'Forward']","Midfield, Forward",117300,22.55769231,,22.55769231,
Dale Morris,Western Bulldogs,['Defender'],Defender,287700,58.34632035,,58.34632035,
Dale Thomas,Carlton,['Defender'],Defender,462000,74.70304818,,74.70304818,
Damon Greaves,Hawthorn,"['Defender', 'Midfield']","Defender, Midfield",109900,33.56164384,,33.56164384,
Dan Houston,Port Adelaide,['Defender'],Defender,420500,75.44444444,,75.44444444,
Dane Rampe,Sydney,['Defender'],Defender,422400,80.50426656,,80.50426656,
Daniel Butler,Richmond,['Forward'],Forward,317000,59.07692308,,59.07692308,
Daniel Hannebery,St Kilda,['Midfield'],Midfield,326100,95.56061251,100,98.89015313,
Daniel Howe,Hawthorn,['Midfield'],Midfield,410000,70.78616352,,70.78616352,
Daniel Lloyd,GWS,['Forward'],Forward,344700,56.91304348,,56.91304348,
Daniel McKenzie,St Kilda,['Defender'],Defender,358300,58.28518859,,58.28518859,
Daniel McStay,Brisbane,['Forward'],Forward,300900,55.65016196,,55.65016196,
Daniel Menzel,Sydney,['Forward'],Forward,369100,73.33563796,,73.33563796,
Daniel Rich,Brisbane,['Defender'],Defender,428200,83.99119295,,83.99119295,
Daniel Rioli,Richmond,['Forward'],Forward,324600,57.97132616,,57.97132616,
Daniel Talia,Adelaide,['Defender'],Defender,378500,66.81626872,,66.81626872,
Daniel Venables,West Coast,['Forward'],Forward,258800,47,,47,
Daniel Wells,Collingwood,['Forward'],Forward,302900,82.9316888,65,69.4829222,
Darcy Byrne-Jones,Port Adelaide,['Defender'],Defender,389600,66.4516129,,66.4516129,
Darcy Cameron,Sydney,['Ruck'],Ruck,135700,25,,25,
Darcy Fogarty,Adelaide,['Forward'],Forward,242700,44,,44,
Darcy Fort,Geelong,['Ruck'],Ruck,117300,28.31377386,,28.31377386,
Darcy Gardiner,Brisbane,['Defender'],Defender,382400,59.72475341,,59.72475341,
Darcy Lang,Carlton,"['Midfield', 'Forward']","Midfield, Forward",327700,61.39622642,,61.39622642,
Darcy Macpherson,Gold Coast,['Forward'],Forward,293100,52.81081081,,52.81081081,
Darcy Moore,Collingwood,"['Defender', 'Forward']","Defender, Forward",239400,56.98803112,,56.98803112,
Darcy Parish,Essendon,"['Midfield', 'Forward']","Midfield, Forward",436100,76.08767123,,76.08767123,
Darcy Tucker,Fremantle,['Midfield'],Midfield,327900,56.63117192,,56.63117192,
Darragh Joyce,St Kilda,['Defender'],Defender,123900,18,,18,
Darren Minchington,Hawthorn,['Midfield'],Midfield,190900,55.03912363,,55.03912363,
David Armitage,St Kilda,"['Midfield', 'Forward']","Midfield, Forward",423400,88.55334115,80,82.13833529,
David Astbury,Richmond,['Defender'],Defender,377300,68.99633364,,68.99633364,
David Cuningham,Carlton,['Defender'],Defender,250100,55.0212766,,55.0212766,
