info1,info2,info_draft,info_team,name,sc_price
"
Age: 24yr 2mth    Games: 0     Born: December 8, 1994    
","
Height: 180cm    
Weight: 76kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #16 ",,Jake Aarts,"
Supercoach Price: $106,900
  "
"
Age: 29yr 7mth    Games: 113     Born: July 9, 1989    
","
Height: 201cm    
Weight: 108kg    
Position:
            Ruck
      ","
Last Drafted: Round 2, Pick #8 ",,Tom Bellchambers,"
Supercoach Price: $505,700
  "
"
Age: 20yr     Games: 0     Born: February 10, 1999    
","
Height: 183cm    
Weight: 79kg    
Position:
            Midfield,
                Forward
      ",,,James Bell,"
Supercoach Price: $123,900
  "
"
Age: 20yr 8mth    Games: 8     Born: July 3, 1998    
","
Height: 188cm    
Weight: 89kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #31 ",,Joshua Begley,"
Supercoach Price: $167,600
  "
"
Age: 18yr 9mth    Games: 0     Born: May 27, 2000    
","
Height: 177cm    
Weight: 69kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 5, Pick #75 ",,Toby Bedford,"
Supercoach Price: $117,300
  "
"
Age: 29yr     Games: 168     Born: February 12, 1990    
","
Height: 187cm    
Weight: 88kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #29 ",,Dayne Beams,"
Supercoach Price: $557,600
  "
"
Age: 20yr 6mth    Games: 7     Born: September 1, 1998    
","
Height: 193cm    
Weight: 88kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #39 ",,Josh Battle,"
Supercoach Price: $232,100
  "
"
Age: 27yr 8mth    Games: 161     Born: June 22, 1991    
","
Height: 184cm    
Weight: 76kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #4 ",,Ryan Bastinac,"
Supercoach Price: $245,400
  "
"
Age: 23yr 4mth    Games: 51     Born: October 8, 1995    
","
Height: 194cm    
Weight: 95kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #43 ",,Tom Barrass,"
Supercoach Price: $395,600
  "
"
Age: 21yr     Games: 20     Born: February 26, 1998    
","
Height: 188cm    
Weight: 88kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 1, Pick #5 ",,Bailey Banfield,"
Supercoach Price: $344,200
  "
"
Age: 19yr 4mth    Games: 0     Born: October 23, 1999    
","
Height: 194cm    
Weight: 94kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #25 ",,Noah Balta,"
Supercoach Price: $123,900
  "
"
Age: 19yr 11mth    Games: 0     Born: March 29, 1999    
","
Height: 200cm    
Weight: 95kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #43 ",,Connor Ballenden,"
Supercoach Price: $123,900
  "
"
Age: 19yr 7mth    Games: 11     Born: July 23, 1999    
","
Height: 195cm    
Weight: 83kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #42 ",,Charlie Ballard,"
Supercoach Price: $241,800
  "
"
Age: 31yr 7mth    Games: 168     Born: July 16, 1987    
","
Height: 173cm    
Weight: 79kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #21 ",,Hayden Ballantyne,"
Supercoach Price: $266,600
  "
"
Age: 20yr 9mth    Games: 0     Born: May 25, 1998    
","
Height: 184cm    
Weight: 79kg    
Position:
            Midfield
      ","
Last Drafted: Round 3, Pick #48 ",,Oskar Baker,"
Supercoach Price: $123,900
  "
"
Age: 21yr 1mth    Games: 3     Born: January 27, 1998    
","
Height: 173cm    
Weight: 69kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #18 ",,Liam Baker,"
Supercoach Price: $162,100
  "
"
Age: 20yr 9mth    Games: 9     Born: May 22, 1998    
","
Height: 189cm    
Weight: 90kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #11 ",,Cameron Zurhaar,"
Supercoach Price: $254,100
  "
"
Age: 30yr     Games: 144     Born: February 9, 1989    
","
Height: 175cm    
Weight: 78kg    
Position:
            Midfield
      ",,,Dayne Zorko,"
Supercoach Price: $520,200
  "
"
Age: 28yr     Games: 188     Born: February 28, 1991    
","
Height: 188cm    
Weight: 88kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #9 ",,Jack Ziebell,"
Supercoach Price: $458,500
  "
"
Age: 20yr 6mth    Games: 0     Born: August 25, 1998    
","
Height: 195cm    
Weight: 78kg    
Position:
            Defender
      ","
Last Drafted: Round 4, Pick #66 ",,Brandon Zerk-Thatcher,"
Supercoach Price: $123,900
  "
"
Age: 29yr     Games: 187     Born: February 21, 1990    
","
Height: 180cm    
Weight: 79kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #23 ",,David Zaharakis,"
Supercoach Price: $509,000
  "
"
Age: 24yr     Games: 0     Born: March 2, 1995    
","
Height: 179cm    
Weight: 73kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #67 ",,Robert Young,"
Supercoach Price: $117,300
  "
"
Age: 20yr 2mth    Games: 9     Born: December 20, 1998    
","
Height: 197cm    
Weight: 96kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #49 ",,Lewis Young,"
Supercoach Price: $248,900
  "
"
Age: 19yr 10mth    Games: 0     Born: April 6, 1999    
","
Height: 189cm    
Weight: 81kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #6 ",,Lachie Young,"
Supercoach Price: $120,400
  "
"
Age: 26yr 2mth    Games: 98     Born: December 6, 1992    
","
Height: 189cm    
Weight: 84kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #36 ",,Aaron Young,"
Supercoach Price: $325,700
  "
"
Age: 25yr 5mth    Games: 132     Born: October 1, 1993    
","
Height: 190cm    
Weight: 89kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #30 ",,Elliot Yeo,"
Supercoach Price: $585,500
  "
